Name,Company,Position,Email,Phone,Website,Country,Industry,Notes
adam&eveDDB,adam&eveDDB,Owner,hello@adamandeveddb.com,+44-20-7258-3979,https://www.adamandeveddb.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
AMV BBDO,AMV BBDO,Owner,info@amvbbdo.com,+44-20-7616-3500,https://www.amvbbdo.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Mother London,Mother London,Owner,hello@motherlondon.com,+44-20-7012-1999,https://www.motherlondon.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Wieden+Kennedy London,Wieden+Kennedy London,Owner,info@wklondon.com,+44-20-7194-7000,https://www.wklondon.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
VCCP,VCCP,Owner,info@vccp.com,+44-20-3841-2000,https://www.vccp.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Bartle Bogle Hegarty (BBH),BBH London,Owner,info@bartleboglehegarty.com,+44-20-7734-1677,https://www.bartleboglehegarty.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Ogilvy UK,Ogilvy UK,Owner,info@ogilvy.co.uk,+44-20-7345-3000,https://www.ogilvy.co.uk,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Saatchi & Saatchi,Saatchi & Saatchi,Owner,info@saatchi.co.uk,+44-20-7636-5060,https://www.saatchi.co.uk,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
McCann London,McCann London,Owner,info@mccann.com,+44-20-7614-4000,https://www.mccann.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Leo Burnett London,Leo Burnett London,Owner,info@leoburnett.co.uk,+44-20-7751-1800,https://www.leoburnett.co.uk,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Grey London,Grey London,Owner,info@grey.com,+44-20-3037-3737,https://www.grey.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Havas London,Havas London,Owner,info@havas.com,+44-20-3793-3800,https://www.havas.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Iris Worldwide,Iris Worldwide,Owner,hello@iris-worldwide.com,+44-20-7654-7900,https://www.iris-worldwide.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
The&Partnership,The&Partnership,Owner,info@theandpartnership.com,+44-20-3757-9000,https://www.theandpartnership.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
M&C Saatchi,M&C Saatchi,Owner,info@mcsaatchi.com,+44-20-7543-4500,https://www.mcsaatchi.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Uncommon Creative Studio,Uncommon Creative Studio,Owner,hello@uncommon.studio,+44-20-3948-4900,https://uncommon.studio,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Pablo London,Pablo London,Owner,hello@pablolondon.com,+44-20-3814-1400,https://www.pablolondon.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Wunderman Thompson UK,Wunderman Thompson UK,Owner,info@wundermanthompson.com,+44-20-7202-1000,https://www.wundermanthompson.com,United Kingdom,Marketing Agency,London — generic inbox guessed; verify before sending
Rise at Seven,Rise at Seven,Owner,hello@riseatseven.com,+44-114-303-1730,https://riseatseven.com,United Kingdom,Digital Marketing Agency,Sheffield — generic inbox guessed; verify before sending
Impression,Impression,Owner,hello@impression.co.uk,+44-115-848-0855,https://www.impression.co.uk,United Kingdom,Digital Marketing Agency,Nottingham — generic inbox guessed; verify before sending
Journey Further,Journey Further,Owner,hello@journeyfurther.com,+44-113-360-7930,https://www.journeyfurther.com,United Kingdom,Digital Marketing Agency,Leeds — generic inbox guessed; verify before sending
Hallam,Hallam,Owner,hello@hallam.agency,+44-115-948-0123,https://www.hallam.agency,United Kingdom,Digital Marketing Agency,Nottingham — generic inbox guessed; verify before sending
Rock Kitchen Harris,Rock Kitchen Harris,Owner,hello@rkh.co.uk,+44-116-254-9407,https://www.rkh.co.uk,United Kingdom,Marketing Agency,Leicester — generic inbox guessed; verify before sending
The Marketing Practice,The Marketing Practice,Owner,info@themarketingpractice.com,+44-118-920-9100,https://www.themarketingpractice.com,United Kingdom,B2B Marketing Agency,Oxfordshire — generic inbox guessed; verify before sending
Croud,Croud,Owner,hello@croud.com,+44-20-3479-1234,https://croud.com,United Kingdom,Digital Marketing Agency,London — generic inbox guessed; verify before sending
